id,word,definition
1593,Bulletin,a newsletter or memo that generally announces important information
1594,Bulwark,an object that acts as a shield
1595,Bumbling,acting or moving about in a confused manner
1596,Bumfuzzle,to confuse someone
1597,Bummer,something that is disappointing
1598,Bumptious ,confident in an annoying manner
1599,Bundle,a group of objects held together by wrapping or tying 
1600,Bundle,a group of something tied or joined together
1601,Bungalow,"a small, one-story house with a front porch and a low-pitched roof"
1602,Bungle,to clumsily perform a task
1603,Bunkum,"something that is foolish, ridiculous, and makes no sense"
1604,Buoy,a float in water that is used to mark something
1605,Buoyant,joyful and self-assured
1606,Burden,a heavy load
1607,Burden,a problem or inconvenience 
1608,Burdensome,tough to fulfill or carry out
1609,Bureau,an agency or governmental department
1610,Bureaucracy,a method of business or government in which red tape processes are used to delay action 
1611,Bureaucratic ,associated with a lengthy and tiresome process for performing a task
1612,Burgeon,to grow and expand rapidly
1613,Burglar,a robber or thief that enters a building illegally to steal
1614,Burglary,illegal entry into a building or vehicle with the intention of stealing
1615,Burial,the act or ceremonial practice of placing something (usually a dead body) underground
1616,Burlap,"coarse, plain-woven fabric used for bagging, furniture, and rugs"
1617,Burlesque,a stage production or literary piece that uses excessive exaggeration or comedic imitation to ridicule something or someone
1618,Burly,"large, strong and heavy"
1619,Burnish,to polish; to make smooth or shiny
1620,Burnt,seared; scorched
1621,Burrow,to dig in order to make a hole or tunnel
1622,Burst,to explode suddenly
1623,Bury,"to cover completely, typically with dirt or some other earthy substance as an act of hiding or putting to rest"
1624,Bushel,"a measure of capacity equal to 8 gallons, used for dry goods"
1625,Busily,"hurriedly, in a very active way"
1626,Business,"the activity of buying and selling goods and services, especially as one’s living"
1627,Bust,"a sculpture or statue of a person’s head, shoulders, or chest"
1628,Buster,something used to break something else apart
1629,Bustle,to move in a noisy or hurried manner 
1630,Busybody,"a person who is always in other people’s business, meddling and starting trouble"
1631,Buttress,
1632,Buxom ,describing a full-figured female with an ample bosom
1633,Buy,obtain in exchange for payment
1634,Buzz,a low hiss with a “z” sound
1635,Buzzard,a hawk-like bird of prey that soars high with wide wings and a round tail
1636,Buzzkill,a person or thing that stops others from enjoying themselves
1637,By-product,a secondary product or result that's produced in the making or doing of something else
1638,Bygone,associated with an earlier period of time
1639,Bypass,to go around something
1640,Bystander,a person who is present during a situation or event but not directly involved
1641,Byzantine,complex; hard to comprehend
1642,Cabal,a collection of people who come together to work against something or someone 
1643,Cabalistic,of or relating to a cabal; secretive and cliquish
1644,Cabinet,a cupboard with drawers or doors that are used to store household items
1645,Cable,a thick rope or cord that usually has wire in the middle
1646,Cache ,a hidden supply of something
1647,Cachet ,the condition of having distinction or being admired or respected
1648,Cachinnate,"the act of laughing, snorting, or physically putting all energy into laughter"
1649,Cachinnation,"convulsive, loud laughter"
1650,Cackle,laugh resembling the cry of a hen or goose
1651,Cacoethes,an uncontrollable urge or desire to do something inadvisable
1652,Cacography,"bad handwriting	"
1653,Cacology,a bad choice of words or pronunciation
1654,Cacophony,an unpleasant mixture of loud sounds
1655,Cadaver,a lifeless body that is used for research
1656,Cadaverous,similar in appearance to a corpse; pale and skinny
1657,Cadge,to convince a person to give you something at no charge
1658,Cadre,a group people specially-trained people for a particular purpose or profession
1659,Caducity,frail old age; senile
1660,Cagey,uncommunicative; unwilling or hesitant to give information
1661,Cahoots,secretly working together to commit crime or dishonest activity
1662,Cajole,persuade someone to do something; convince with gentle pleading; sweet-talk
1663,Cajolery,flattery and gentle pleading done on purpose to persuade someone to do something
1664,Calamitous,involving catastrophe
1665,Calamity,a situation that results in extreme suffering
1666,Calculated,referring to an action committed with full awareness of its consequences
1667,Caldera,"a large, volcanic crater that is created after part of a volcano collapses"
1668,Caliber,the worth of an individual’s character or his level of ability
1669,Calibrate,to quantify in a careful and detailed manner 
1670,Caliphate ,an Islamic territory directed by a religious and political director
1671,Calisthenics,simple exercises that are performed by people to stay fit but don’t require the use of equipment
1672,Call-out,an occasion when someone is asked to come to a person’s home to do a job or help with a task
1673,Call,to cry out or summon someone
1674,Calligraphy,elegant handwriting that is often created with a particular kind of brush or pen
1675,Callipygian,having attractive or shapely buttocks
1676,Callipygous,having a proportionate and well-shaped rear end
1677,Callous,showing or having an insensitive and cruel disregard for others
1678,Callow,"immature, lacking in life experience"
1679,Calm,relaxed and showing no feelings of anger or anxiousness
1680,Calumniate,to voice untrue accounts about an individual or group
1681,Calumnious,slanderous or defamatory
1682,Calumny,a false statement made to damage someone’s reputation
1683,Camaraderie,good friendship and trust among members of a group
1684,Cameo,a tiny role in a film that is performed by a famous individual
1685,Camouflage,a means or attempt to conceal something 
1686,Campaign,a set of steps taken to achieve a certain goal
1687,Canal,an artificial waterway or channel
1688,Canard,a phony report or story
1689,Cancel,to decide or announce that something planned in advance will no longer take place
1690,Cancer,the disease caused by an uncontrolled division of abnormal cells in a part of the body
1691,Candid,truthful and straightforward
1692,Candidacy,the state of being considered for a position
1693,Candidate,someone being considered for a particular position
1694,Candor,"the state or quality of being frank, open, and sincere in speech or expression"
1695,Cane,a short stick or staff that people use to help them walk
1696,Canister,a container with a lid that is used for keeping dry products
1697,Canker,a fungal disease of trees that causes damage to the bark
1698,Cannon,"a large, mounted gun that is used to fire heavy projectiles"
1699,Canny,displaying good sense and judgment 
1700,Canonical,following or according to the rules
1701,Canonize,to regard something as being of utmost importance or significance
1702,Canopy,"a cover of some type that is used as a roof, either for decorative purposes or as shelter"
1703,Canorous,pleasant sounding
1704,Cant,the unique vocabulary used by a specific group of people
1705,Cantankerous,"easily angered, always complaining or arguing and difficult to get along with"
1706,Canto,a section or stanza of a lengthy poem
1707,Canvas,"a type of hard, rough cloth used for making sails, tents, and as a surface to be painted on"
1708, Canvass ,to seek out support from people 
1709,Canyon,a deep gorge that usually has a river running through it
1710,Capability,"the power, skill, or ability to do something"
1711,Capable,able and competent
1712,Capacious,having the ability to hold a great amount
1713,Capacitate,make someone capable of a particular action or legally competent to act in a particular way 
1714,Capacity,the total amount an object can hold
1715,Caper,a silly stunt or activity
1716,Capillary,associated with the tiny vessels of blood that link the arteries to the veins
1717,Capital,"goods, monetary assets, and other things that can be used to produce income"
1718,Capitalism ,a monetary arrangement in which goods and services are owned by groups or individuals not associated with the government
